iter	Passed	Remaining
0	2	278
1	3	176
2	4	142
3	5	121
4	5	105
5	6	97
6	6	90
7	7	85
8	8	81
9	8	78
10	9	75
11	9	72
12	10	71
13	11	69
14	11	67
15	12	65
16	13	63
17	13	62
18	14	60
19	14	58
20	15	57
21	15	55
22	16	54
23	16	53
24	17	52
25	17	50
26	18	49
27	19	48
28	19	47
29	20	47
30	20	46
31	21	45
32	22	45
33	23	46
34	24	45
35	24	44
36	25	43
37	26	42
38	26	41
39	27	40
40	27	39
41	28	39
42	28	38
43	29	37
44	30	36
45	30	35
46	31	35
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	35	31
53	36	30
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	64	0
