iter	Passed	Remaining
0	48	48329
1	49	24541
2	49	16602
3	51	12722
4	51	10324
5	52	8718
6	53	7567
7	54	6724
8	55	6064
9	55	5543
10	56	5118
11	58	4810
12	59	4512
13	60	4252
14	61	4022
15	62	3820
16	63	3643
17	63	3479
18	64	3332
19	65	3200
20	66	3105
21	67	3008
22	68	2906
23	69	2813
24	69	2726
25	70	2653
26	72	2595
27	73	2544
28	74	2483
29	75	2425
30	75	2371
31	76	2310
32	76	2251
33	78	2227
34	78	2175
35	80	2144
36	80	2107
37	81	2073
38	82	2043
39	83	2011
40	84	1980
41	85	1952
42	86	1932
43	88	1912
44	89	1890
45	89	1864
46	90	1837
47	91	1813
48	92	1789
49	92	1765
50	93	1743
51	94	1721
52	95	1700
53	95	1677
54	97	1673
55	98	1659
56	98	1636
57	99	1618
58	100	1601
59	101	1582
60	101	1561
61	104	1575
62	105	1564
63	105	1549
64	106	1534
65	107	1516
66	107	1501
67	108	1488
68	109	1473
69	109	1460
70	110	1449
71	111	1436
72	112	1425
73	112	1413
74	113	1398
75	114	1387
76	114	1378
77	115	1364
78	116	1354
79	117	1345
80	117	1337
81	118	1326
82	118	1311
83	119	1306
84	120	1295
85	120	1285
86	122	1280
87	123	1275
88	123	1269
89	125	1265
90	126	1262
91	126	1251
92	127	1243
93	128	1236
94	128	1227
95	129	1220
96	130	1210
97	130	1205
98	131	1199
99	132	1195
100	133	1190
101	134	1185
102	135	1177
103	135	1171
104	136	1165
105	137	1156
106	137	1151
107	140	1160
108	141	1152
109	142	1150
110	142	1143
111	143	1141
112	145	1140
113	145	1134
114	146	1126
115	146	1118
116	147	1110
117	147	1102
118	147	1095
119	148	1088
120	148	1080
121	149	1073
122	149	1066
123	149	1059
124	150	1052
125	150	1046
126	151	1039
127	151	1032
128	152	1026
129	154	1030
130	154	1026
131	155	1025
132	156	1020
133	156	1014
134	157	1009
135	158	1005
136	159	1005
137	160	999
138	160	993
139	160	988
140	161	982
141	161	976
142	161	970
143	162	965
144	162	959
145	163	954
146	163	949
147	164	944
148	164	939
149	164	934
150	165	929
151	165	924
152	166	919
153	168	923
154	168	918
155	168	914
156	169	909
157	169	904
158	170	900
159	170	897
160	171	892
161	171	888
162	172	885
163	172	881
164	173	879
165	174	875
166	174	871
167	175	867
168	175	863
169	175	859
170	176	855
171	176	851
172	177	847
173	177	843
174	178	839
175	178	835
176	178	831
177	179	827
178	179	823
179	180	820
180	180	816
181	180	812
182	181	809
183	183	812
184	183	808
185	183	805
186	184	802
187	184	798
188	185	795
189	185	791
190	186	789
191	186	786
192	187	783
193	188	782
194	188	779
195	189	776
196	189	773
197	190	770
198	190	767
199	190	763
200	191	760
201	191	757
202	192	754
203	192	751
204	192	748
205	193	745
206	193	742
207	194	739
208	194	736
209	195	733
210	196	733
211	197	733
212	197	731
213	198	728
214	198	725
215	199	723
216	199	720
217	200	718
218	200	716
219	201	714
220	201	711
221	202	709
222	203	709
223	204	706
224	204	704
225	204	701
226	205	698
227	205	696
228	206	693
229	206	691
230	206	688
231	207	686
232	207	683
233	208	681
234	208	678
235	208	676
236	209	673
237	209	671
238	210	668
239	211	671
240	212	668
241	212	666
242	213	664
243	213	661
244	214	659
245	214	657
246	216	659
247	216	656
248	217	654
249	217	652
250	218	651
251	218	649
252	219	648
253	220	647
254	221	647
255	221	645
256	222	642
257	222	640
258	223	638
259	223	636
260	224	634
261	224	632
262	225	630
263	225	628
264	225	626
265	226	624
266	226	622
267	227	620
268	227	618
269	228	616
270	228	614
271	228	612
272	229	611
273	230	609
274	230	607
275	231	606
276	231	604
277	232	602
278	232	600
279	232	599
280	233	597
281	233	595
282	234	593
283	234	591
284	235	589
285	235	587
286	235	586
287	236	584
288	236	582
289	237	580
290	237	578
291	237	576
292	238	574
293	238	573
294	239	571
295	239	569
296	240	568
297	240	566
298	241	565
299	241	563
300	241	561
301	242	560
302	242	558
303	243	556
304	243	555
305	244	553
306	245	553
307	245	551
308	245	549
309	246	548
310	246	546
311	247	546
312	248	544
313	248	543
314	248	541
315	249	539
316	249	538
317	250	536
318	250	535
319	251	533
320	251	531
321	251	530
322	252	528
323	252	527
324	253	525
325	253	524
326	253	522
